seg,word,cate,v,a
43,girl,4,6.87,4.29
44,day,4,6.66,5
45,music,4,7.67,5.57
45,know,4,6.93,5.77
45,know,4,6.93,5.77
45,fly,4,7.29,6.64
45,garden,4,7.25,3.71
45,friend,4,6.79,4.29
46,perfect,4,7.19,4.71
47,idea,4,7,5.86
47,love,4,8,5.36
48,friend,4,6.79,4.29
48,pretty,4,7.7,5.5
48,sure,4,6.53,5
48,friend,4,6.79,4.29
48,pretty,4,7.7,5.5
50,wish,4,7.09,5.16
50,like,4,7.52,6.63
50,bright,4,7.5,5.4
50,wish,4,7.09,5.16
50,inspiration,4,6.53,4.77
50,fancy,4,7.43,5.42
50,movie,4,6.86,4.93
50,me,4,8.06,5.97
50,car,4,7.73,6.24
50,beautiful,4,7.61,5.71
51,beautiful,4,7.61,5.71
51,perfect,4,7.19,4.71
52,think,4,6.41,5.34
52,know,4,6.93,5.77
52,think,4,6.41,5.34
52,know,4,6.93,5.77
52,know,4,6.93,5.77
52,know,4,6.93,5.77
52,glad,4,7.55,3.71
52,know,4,6.93,5.77
52,sure,4,6.53,5
52,idea,4,7,5.86
52,like,4,7.52,6.63
52,love,4,8,5.36
53,think,4,6.41,5.34
53,happy,4,8.47,6.05
53,like,4,7.52,6.63
53,love,4,8,5.36
54,blessed,4,7.5,3.55
54,joy,4,8.21,5.55
54,love,4,8,5.36
54,friend,4,6.79,4.29
54,friend,4,6.79,4.29
55,idea,4,7,5.86
55,pretty,4,7.7,5.5
57,me,4,8.06,5.97
57,me,4,8.06,5.97
58,family,4,7.65,4.8
58,house,4,7.26,4.56
58,movie,4,6.86,4.93
59,love,4,8,5.36
59,funny,4,8.56,7
59,family,4,7.65,4.8
59,love,4,8,5.36
60,fun,4,8.37,6.32
62,costume,4,7.34,6
63,think,4,6.41,5.34
64,like,4,7.52,6.63
64,people,4,7.33,5.94
65,love,4,8,5.36
65,like,4,7.52,6.63
65,chef,4,7.26,5.67
65,healthy,4,7.76,4.19
65,healthy,4,7.76,4.19
65,love,4,8,5.36
65,music,4,7.67,5.57
66,first,4,6.89,6.14
66,song,4,7.1,6.07
66,love,4,8,5.36
66,music,4,7.67,5.57
66,church,4,5.21,3.63
66,me,4,8.06,5.97
66,day,4,6.66,5
66,me,4,8.06,5.97
66,people,4,7.33,5.94
66,friend,4,6.79,4.29
66,gorgeous,4,7.57,4.92
66,beauty,4,7.58,4.89
67,funny,4,8.56,7
67,day,4,6.66,5
67,breakfast,4,7.39,5
67,love,4,8,5.36
67,valentine,4,8.11,6.06
67,valentine,4,8.11,6.06
67,chocolate,4,7.63,5.14
67,love,4,8,5.36
70,beautiful,4,7.61,5.71
70,day,4,6.66,5
72,love,4,8,5.36
72,me,4,8.06,5.97
